Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D2.02,Logroño,14720,JCDecaux - ES,['outdoor.urban_panels'],42.4705525,-2.4370119,ES
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D1.01,Logroño,16323,JCDecaux - ES,['outdoor.urban_panels'],42.4705525,-2.4370119,ES
29017,"Av. del Pintor Joaquín Sorolla, 68, 29017 Málaga, Spain",ES-MAL-DD-01010.D1.01,Málaga,437377,JCDecaux - ES,['outdoor.urban_panels'],36.7218003,-4.3821593,ES
28223,"C682+MG Somosaguas, Spain",ES-POZ-DD-00015.D1.01,Somosaguas,116000,JCDecaux - ES,['outdoor.urban_panels'],40.41668,-3.79868,ES
28223,"C682+M7 Somosaguas, Spain",ES-POZ-DD-00014.D1.01,Somosaguas,36050,JCDecaux - ES,['outdoor.urban_panels'],40.41673,-3.79925,ES
28046,"P.º de la Castellana, 122, 28046 Madrid, Spain",ES-MAD-AB-02414.D1.03,Madrid,1067244,JCDecaux - ES,['outdoor.urban_panels'],40.4487781,-3.6903959,ES
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02417.D1.03,Madrid,361432,JCDecaux - ES,['outdoor.urban_panels'],40.4512984,-3.6904657,ES
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02418.D1.03,Madrid,371961,JCDecaux - ES,['outdoor.urban_panels'],40.4512984,-3.6904657,ES
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02419.D1.03,Madrid,332160,JCDecaux - ES,['outdoor.urban_panels'],40.4531482,-3.6900476,ES
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02420.D1.03,Madrid,271809,JCDecaux - ES,['outdoor.urban_panels'],40.4531482,-3.6900476,ES
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02424.D1.03,Madrid,339860,JCDecaux - ES,['outdoor.urban_panels'],40.4556076,-3.6900251,ES
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02425.D1.03,Madrid,327058,JCDecaux - ES,['outdoor.urban_panels'],40.4556076,-3.6900251,ES
28046,"Av. de Alberto de Alcocer, 28046 Madrid, Spain",ES-MAD-AB-02426.D1.03,Madrid,1152292,JCDecaux - ES,['outdoor.urban_panels'],40.4589155,-3.6893235,ES
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02430.D1.03,Madrid,276224,JCDecaux - ES,['outdoor.urban_panels'],40.4617415,-3.6894908,ES
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02431.D1.03,Madrid,238895,JCDecaux - ES,['outdoor.urban_panels'],40.4617415,-3.6894908,ES
28046,"P.º de la Castellana, 259C, 28046 Madrid, Spain",ES-MAD-AB-03977.D1.01,Madrid,386910,JCDecaux - ES,['outdoor.urban_panels'],40.4781418,-3.6863528,ES
28046,"P.º de la Castellana, 259C, 28046 Madrid, Spain",ES-MAD-AB-03976.D1.01,Madrid,399870,JCDecaux - ES,['outdoor.urban_panels'],40.4781418,-3.6863528,ES
26006,"Av. Zaragoza, 8, 26006 Logroño, La Rioja, Spain",ES-LOG-DD-00019.D2.01,Logroño,95364,JCDecaux - ES,['outdoor.urban_panels'],42.4610106,-2.4214296,ES
26005,"C. Marqués de Murrieta, 27, 26005 Logroño, La Rioja, Spain",ES-LOG-KI-01008.D2.01,Logroño,51820,JCDecaux - ES,['outdoor.urban_panels'],42.4649871,-2.4551028,ES
26001,"C. Portales, 14, 26001 Logroño, La Rioja, Spain",ES-LOG-DD-00012.D2.01,Logroño,13093,JCDecaux - ES,['outdoor.urban_panels'],42.466516,-2.4446673,ES
31002,"Av. San Ignacio, 16, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08011.D1.01,Pamplona,290841,JCDecaux - ES,['outdoor.urban_panels'],42.81308,-1.642919,ES
31002,"C. de Aralar, 13, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08037.D1.01,Pamplona,180174,JCDecaux - ES,['outdoor.urban_panels'],42.8138186,-1.6354918,ES
31002,"C. de Estella, 7, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08038.D1.01,Pamplona,51025,JCDecaux - ES,['outdoor.urban_panels'],42.8141409,-1.6444925,ES
