Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D2.02,Logroño,14720.0,JCDecaux - ES,['outdoor.urban_panels'],424.705.525,-24.370.119,ES
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D1.01,Logroño,16323.0,JCDecaux - ES,['outdoor.urban_panels'],424.705.525,-24.370.119,ES
29017,"Av. del Pintor Joaquín Sorolla, 68, 29017 Málaga, Spain",ES-MAL-DD-01010.D1.01,Málaga,437377.0,JCDecaux - ES,['outdoor.urban_panels'],367.218.003,-43.821.593,ES
28223,"C682+MG Somosaguas, Spain",ES-POZ-DD-00015.D1.01,Somosaguas,116000.0,JCDecaux - ES,['outdoor.urban_panels'],4.041.668,-379.868,ES
28223,"C682+M7 Somosaguas, Spain",ES-POZ-DD-00014.D1.01,Somosaguas,36050.0,JCDecaux - ES,['outdoor.urban_panels'],4.041.673,-379.925,ES
28046,"P.º de la Castellana, 122, 28046 Madrid, Spain",ES-MAD-AB-02414.D1.03,Madrid,1067244.0,JCDecaux - ES,['outdoor.urban_panels'],404.487.781,-36.903.959,ES
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02417.D1.03,Madrid,361432.0,JCDecaux - ES,['outdoor.urban_panels'],404.512.984,-36.904.657,ES
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02418.D1.03,Madrid,371961.0,JCDecaux - ES,['outdoor.urban_panels'],404.512.984,-36.904.657,ES
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02419.D1.03,Madrid,332160.0,JCDecaux - ES,['outdoor.urban_panels'],404.531.482,-36.900.476,ES
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02420.D1.03,Madrid,271809.0,JCDecaux - ES,['outdoor.urban_panels'],404.531.482,-36.900.476,ES
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02424.D1.03,Madrid,339860.0,JCDecaux - ES,['outdoor.urban_panels'],404.556.076,-36.900.251,ES
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02425.D1.03,Madrid,327058.0,JCDecaux - ES,['outdoor.urban_panels'],404.556.076,-36.900.251,ES
28046,"Av. de Alberto de Alcocer, 28046 Madrid, Spain",ES-MAD-AB-02426.D1.03,Madrid,1152292.0,JCDecaux - ES,['outdoor.urban_panels'],404.589.155,-36.893.235,ES
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02430.D1.03,Madrid,276224.0,JCDecaux - ES,['outdoor.urban_panels'],404.617.415,-36.894.908,ES
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02431.D1.03,Madrid,238895.0,JCDecaux - ES,['outdoor.urban_panels'],404.617.415,-36.894.908,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00005.D1.01,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00004.D2.02,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00004.D1.01,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00003.D2.02,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00003.D1.01,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00002.D2.02,,109451.0,JCDecaux - ES,['retail.malls'],404.708.321,-34.439.161,ES
