Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
26004,ES-LOG-DD-00035.D2.02,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",Frame Alone,Logroño,14720.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,424.705.525,-24.370.119,RI,LO,ES,1080x1920,,10.0
26004,ES-LOG-DD-00035.D1.01,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",Frame Alone,Logroño,16323.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,424.705.525,-24.370.119,RI,LO,ES,1080x1920,,10.0
29017,ES-MAL-DD-01010.D1.01,"Av. del Pintor Joaquín Sorolla, 68, 29017 Málaga, Spain",Frame Alone,Málaga,437377.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,367.218.003,-43.821.593,AN,MA,ES,1080x1920,,10.0
28223,ES-POZ-DD-00015.D1.01,"C682+MG Somosaguas, Spain",Frame Alone,Somosaguas,116000.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.041.668,-379.868,MD,M,ES,1080x1920,,10.0
28223,ES-POZ-DD-00014.D1.01,"C682+M7 Somosaguas, Spain",Frame Alone,Somosaguas,36050.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.041.673,-379.925,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-02414.D1.03,"P.º de la Castellana, 122, 28046 Madrid, Spain",nan,Madrid,1067244.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.487.781,-36.903.959,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-02417.D1.03,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",nan,Madrid,361432.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.512.984,-36.904.657,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-02418.D1.03,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",nan,Madrid,371961.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.512.984,-36.904.657,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-02419.D1.03,"P.º de la Castellana, 42, 28046 Madrid, Spain",nan,Madrid,332160.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.531.482,-36.900.476,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-02420.D1.03,"P.º de la Castellana, 42, 28046 Madrid, Spain",nan,Madrid,271809.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.531.482,-36.900.476,MD,M,ES,1080x1920,,10.0
