Zipcode,Full address,Frame id,City,Publisher,Venue types
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D2.02,Logroño,JCDecaux - ES,['outdoor.urban_panels']
26004,"C. Huertas, 17, 26004 Logroño, La Rioja, Spain",ES-LOG-DD-00035.D1.01,Logroño,JCDecaux - ES,['outdoor.urban_panels']
29017,"Av. del Pintor Joaquín Sorolla, 68, 29017 Málaga, Spain",ES-MAL-DD-01010.D1.01,Málaga,JCDecaux - ES,['outdoor.urban_panels']
28223,"C682+MG Somosaguas, Spain",ES-POZ-DD-00015.D1.01,Somosaguas,JCDecaux - ES,['outdoor.urban_panels']
28223,"C682+M7 Somosaguas, Spain",ES-POZ-DD-00014.D1.01,Somosaguas,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 122, 28046 Madrid, Spain",ES-MAD-AB-02414.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02417.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"Lima - Santiago Bernabéu, 28046 Madrid, Spain",ES-MAD-AB-02418.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02419.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 42, 28046 Madrid, Spain",ES-MAD-AB-02420.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02424.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 150, 28046 Madrid, Spain",ES-MAD-AB-02425.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"Av. de Alberto de Alcocer, 28046 Madrid, Spain",ES-MAD-AB-02426.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02430.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"Castellana - Rosario Pino, 28046 Madrid, Spain",ES-MAD-AB-02431.D1.03,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00005.D1.01,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00004.D2.02,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00004.D1.01,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00003.D2.02,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00003.D1.01,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00002.D2.02,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00002.D1.01,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00001.D2.02,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00001.D1.01,,JCDecaux - ES,['retail.malls']
28850,"Vía sin nombre, 28850, Madrid, Spain",ES-COA-DD-00005.D2.02,,JCDecaux - ES,['retail.malls']
28046,"P.º de la Castellana, 259C, 28046 Madrid, Spain",ES-MAD-AB-03977.D1.01,Madrid,JCDecaux - ES,['outdoor.urban_panels']
28046,"P.º de la Castellana, 259C, 28046 Madrid, Spain",ES-MAD-AB-03976.D1.01,Madrid,JCDecaux - ES,['outdoor.urban_panels']
26006,"Av. Zaragoza, 8, 26006 Logroño, La Rioja, Spain",ES-LOG-DD-00019.D2.01,Logroño,JCDecaux - ES,['outdoor.urban_panels']
26005,"C. Marqués de Murrieta, 27, 26005 Logroño, La Rioja, Spain",ES-LOG-KI-01008.D2.01,Logroño,JCDecaux - ES,['outdoor.urban_panels']
26001,"C. Portales, 14, 26001 Logroño, La Rioja, Spain",ES-LOG-DD-00012.D2.01,Logroño,JCDecaux - ES,['outdoor.urban_panels']
31002,"Av. San Ignacio, 16, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08011.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31002,"C. de Aralar, 13, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08037.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31002,"C. de Estella, 7, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08038.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31011,"Av. de Pío XII, 31011 Pamplona, Navarra, Spain",ES-PAM-DD-08015.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31011,"Av. de Bayona, 30, 31011 Pamplona, Navarra, Spain",ES-PAM-DD-08009.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31011,"Pl. Juan XXIII, 1, 31011 Pamplona, Navarra, Spain",ES-PAM-DD-08052.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31002,"C. Marqués de Rozalejo, 1, 31002 Pamplona, Navarra, Spain",ES-PAM-DD-08012.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31011,"Av. de Pío XII, 31011 Pamplona, Navarra, Spain",ES-PAM-DD-08039.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31011,"C/ Monasterio de Irache, 20, 31011 Pamplona, Navarra, Spain",ES-PAM-DD-08046.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
26009,"Las Norias, 26009, 26009 Logroño, La Rioja, Spain",ES-LOG-DD-00020.D1.01,Logroño,JCDecaux - ES,['outdoor.urban_panels']
26009,"Las Norias, 26009, 26009 Logroño, La Rioja, Spain",ES-LOG-DD-00020.D2.02,Logroño,JCDecaux - ES,['outdoor.urban_panels']
31006,"C. del Sadar, 31006 Pamplona, Navarra, Spain",ES-PAM-DD-08034.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31003,"Av. de Zaragoza, 24, 31003 Pamplona, Navarra, Spain",ES-PAM-DD-08032.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31007,"C. Esquíroz, 14, 31007 Pamplona, Navarra, Spain",ES-PAM-DD-08005.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31004,"C. del Monte Monjardín, 31004 Pamplona, Navarra, Spain",ES-PAM-DD-08035.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31008,"C. de Acella, 19, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08042.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31003,"C. de San Fermín, 42, 31003 Pamplona, Navarra, Spain",ES-PAM-DD-08004.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31004,"Pl. de La Libertad, 4, 31004 Pamplona, Navarra, Spain",ES-PAM-DD-08036.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
31008,"Pl. de Pedro de Axular, 1, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08051.D1.01,Pamplona,JCDecaux - ES,['outdoor.urban_panels']
